Number;InsertionTime;SearchTime;RemovingTime;IndexingTime;IndexSearchingTime;InsertionUsedMemory;SearchUsedMemory;RemovingUsedMemory;IndexingUsedMemory;IndexSearchingUsedMemory;InsertionDiskOperationsCount;SearchDiskOperationsCount;RemovingDiskOperationsCount;IndexingDiskOperationsCount;IndexSearchingDiskOperationsCount;MaxSearchDepth;IndexMaxSearchDepth
347;0;0;0;0;0;0;4732054;0;4734173;5011064;1;0;1;20;0;1;1
348;0;0;0;15;0;0;4857405;0;4859524;5228415;1;0;1;20;0;1;1
349;0;0;0;16;0;3148417;4497800;1619660;4499399;4506270;2,22;0,99;2,16;20;0;2;1
350;0;0;0;0;16;0;4505963;0;4508082;4521209;1;0;1;20;0;1;1
351;0;0;0;0;16;0;4561590;0;4563709;4625780;1;0;1;20;0;1;1
352;0;0;0;0;0;0;4635073;0;4637192;4760719;1;0;1;20;0;1;1
353;0;0;0;16;0;0;4713700;0;4715819;4900618;1;0;1;20;0;1;1
354;0;0;0;15;7;0;4797655;0;4799774;5045845;1;0;1;20;0;1;1
355;0;0;0;16;0;3192647;4560872;1687795;4562465;4569336;2,54;1;1,99;20;0;2;1
356;0;0;0;0;15;0;4569033;0;4571152;4584279;1;0;1;20;0;1;1
357;0;0;0;0;0;0;4624664;0;4626783;4688854;1;0;1;20;0;1;1
358;0;0;0;0;16;0;4698151;0;4700270;4823797;1;0;1;20;0;1;1
359;0;0;0;0;16;0;4776782;0;4778901;4963700;1;0;1;20;0;1;1
360;0;0;15;0;0;0;4860741;0;4862860;5108931;1;0;1;20;0;1;1
361;16;16;0;16;0;4627379;4628132;3722573;4629603;4639602;2,02;0,99;2,43;20;0;2;1
362;0;0;16;0;16;4641021;4641803;2805930;4642718;4661917;2,02;0,996;2,87;20;0;2;1
363;0;0;0;0;0;0;4724334;0;4727253;4820052;1;0;1;20;0;1;1
364;0;0;0;0;16;0;4835269;0;4838188;5022987;1;0;1;20;0;1;1
365;0;0;0;0;0;0;4954204;0;4957123;5233922;1;0;1;20;0;1;1
366;0;0;0;15;0;0;5081139;0;5084058;5452857;1;0;1;20;0;1;1
367;15;15;0;16;0;4726000;4726758;4727439;4728710;4738304;2,05;1;2,47;20;0;2;1
368;0;0;0;16;0;4739655;4740444;2854981;4741348;4760639;2,02;1;2,62;20;0;2;1
369;6;6;0;0;16;0;4822980;0;4825899;4918790;1;0;1;20;0;1;1
370;15;15;0;16;0;0;4933931;0;4936850;5121741;1;0;1;20;0;1;1
371;0;0;0;15;0;0;5052882;0;5055801;5332692;1;0;1;20;0;1;1
372;0;0;0;16;0;0;5179833;0;5182752;5551643;1;0;1;20;0;1;1
373;0;0;0;16;0;4821043;4821726;4543752;4823863;4830734;2,89;0,974;2,97;20;0;2;1
374;0;0;7;15;0;4831479;4832173;3587567;4833714;4846841;2,36;0,988;2,69;20;0;2;1
375;15;15;16;0;16;0;4888022;0;4890941;4953012;1;0;1;20;0;1;1
376;0;0;0;15;0;0;4963105;0;4966024;5089551;1;0;1;20;0;1;1
377;0;0;0;16;0;0;5043332;0;5046251;5231050;1;0;1;20;0;1;1
378;0;0;16;0;0;0;5128887;0;5131806;5377877;1;0;1;20;0;1;1
379;0;0;16;0;15;4892942;4893613;4894578;4895709;4902580;3,05;1;2,5;20;0;2;1
380;16;16;0;16;15;4903380;4904004;4904857;4905436;4918563;2,49;1;2,1;20;0;2;1
381;0;0;6;0;0;0;4959748;0;4962667;5024738;1;0;1;20;0;1;1
382;0;0;0;0;16;0;5034835;0;5037754;5161281;1;0;1;20;0;1;1
383;0;0;0;15;0;0;5115066;0;5117985;5302784;1;0;1;20;0;1;1
384;0;0;16;0;0;0;5200625;0;5203544;5449615;1;0;1;20;0;1;1
385;15;31;16;0;15;4968074;674188;437494;4970615;4980614;2,11;0,986;3,52;20;0;2;1
386;0;0;16;0;0;4982039;688345;403027;4984394;5003593;2,05;0,994;2,61;20;0;2;1
387;0;0;16;0;15;10162;780032;10186;5070929;5163728;1,02;0,999;1,01;20;0;2;1
388;0;0;15;0;0;0;884977;0;5183864;5368663;1;0;1;20;0;1;1
389;0;0;16;0;16;0;1005912;0;5304799;5581598;1;0;1;20;0;1;1
390;0;0;15;16;0;0;1134847;0;5433734;5802533;1;0;1;20;0;1;1
391;15;15;16;0;16;5075684;781779;782413;5078157;5088248;2,11;1;2,3;20;0;2;1
392;16;32;0;0;7;5089605;795924;797481;5091964;5111255;2,05;1;2,4;20;0;2;1
393;0;0;16;0;16;0;879628;0;5178515;5271406;1;0;1;20;0;1;1
394;15;15;16;0;15;0;992579;0;5291466;5476357;1;0;1;20;0;1;1
395;0;0;15;0;0;0;1113530;0;5412417;5689308;1;0;1;20;0;1;1
396;0;0;16;0;16;0;1242481;0;5541368;5910259;1;0;1;20;0;1;1
397;0;0;15;0;16;5179632;885861;887753;5183075;5189946;2,76;0,976;3,51;20;0;2;1
398;16;16;15;0;6;5190693;896862;899695;5194675;5206513;2,37;0,99;2,59;20;0;2;1
399;16;32;0;15;0;3518969;959047;1769601;5252613;5314684;1,73;0,999;1,49;20;0;2;1
400;0;0;22;0;0;0;1030809;0;5329696;5453223;1;0;1;20;0;1;1
401;16;16;16;15;0;0;1113036;0;5411923;5596722;1;0;1;20;0;1;1
402;0;0;16;15;0;0;1200591;0;5499478;5745549;1;0;1;20;0;1;1
403;0;0;0;16;0;5260642;966754;967803;5264013;5270884;3,13;1;2,02;20;0;2;1
404;6;6;15;0;16;5271733;977845;978854;5274444;5287571;2,57;1;1,89;20;0;2;1
405;15;15;16;0;0;3573376;1040114;1799000;5333675;5395746;1,77;1;1,46;20;0;2;1
406;0;0;0;16;0;0;1111875;0;5410762;5534289;1;0;1;20;0;1;1
407;7;22;0;16;0;0;1194106;0;5492993;5677792;1;0;1;20;0;1;1
408;0;0;16;0;0;0;1281665;0;5580552;5826623;1;0;1;20;0;1;1
409;31;47;38;15;0;191120;195076;197840;5351820;5361346;2,1;0,984;2,87;20;0;2;1
410;47;69;47;0;15;208811;213302;217840;5371815;5388141;2,05;0,992;2,94;20;0;2;1
411;54;70;69;0;0;303606;309466;270312;5459777;5552576;2,01;0,999;2,08;20;0;2;1
412;69;100;84;0;0;428841;436667;15870;5581328;5766127;2;0,999;1,64;20;0;2;1
413;84;131;100;0;16;1142595;575606;598074;5714295;5991094;1,8;1;1,41;20;0;2;1
414;100;154;96;10;8;632096;725159;333650;5857246;6226045;1,4;1;1,21;20;0;2;1
415;32;48;22;0;15;345234;349277;350620;5505581;5515672;2,1;1;1,52;20;0;2;1
416;47;69;31;0;0;363069;367699;369460;5523412;5542703;2,05;1;1,74;20;0;2;1
417;78;94;69;0;15;458100;463871;469681;5620216;5707022;2,01;1;2,36;20;0;2;1
418;85;116;85;0;15;583219;590872;288377;5735442;5920333;2;1;1,91;20;0;2;1
419;100;153;101;0;15;1263618;729749;639481;5868425;6145316;1,8;1;1,41;20;0;2;1
420;115;168;97;10;8;691410;20326;350574;6011392;6380283;1,4;1;1,2;20;0;2;1
421;47;84;47;0;16;496161;500556;504082;5657243;5664114;3,68;1,98;2,95;20;0;3;1
